original,column
ID,id
AGE,age
SEX,sex
INF_ANAM,inf_anam
STENOK_AN,stenok_an
FK_STENOK,fk_stenok
IBS_POST,ibs_post
IBS_NASL,ibs_nasl
GB,gb
SIM_GIPERT,sim_gipert
DLIT_AG,dlit_ag
nr_11,nr_11
nr_01,nr_01
nr_02,nr_02
nr_03,nr_03
nr_04,nr_04
nr_07,nr_07
nr_08,nr_08
np_01,np_01
np_04,np_04
np_05,np_05
np_07,np_07
np_08,np_08
np_09,np_09
np_10,np_10
endocr_01,endocr_01
endocr_02,endocr_02
endocr_03,endocr_03
zab_leg_01,zab_leg_01
zab_leg_02,zab_leg_02
zab_leg_03,zab_leg_03
zab_leg_04,zab_leg_04
zab_leg_06,zab_leg_06
S_AD_KBRIG,s_ad_kbrig
D_AD_KBRIG,d_ad_kbrig
S_AD_ORIT,s_ad_orit
D_AD_ORIT,d_ad_orit
O_L_POST,o_l_post
K_SH_POST,k_sh_post
MP_TP_POST,mp_tp_post
SVT_POST,svt_post
GT_POST,gt_post
FIB_G_POST,fib_g_post
ant_im,ant_im
lat_im,lat_im
inf_im,inf_im
post_im,post_im
IM_PG_P,im_pg_p
ritm_ecg_p_01,ritm_ecg_p_01
ritm_ecg_p_02,ritm_ecg_p_02
ritm_ecg_p_04,ritm_ecg_p_04
ritm_ecg_p_06,ritm_ecg_p_06
ritm_ecg_p_07,ritm_ecg_p_07
ritm_ecg_p_08,ritm_ecg_p_08
n_r_ecg_p_01,n_r_ecg_p_01
n_r_ecg_p_02,n_r_ecg_p_02
n_r_ecg_p_03,n_r_ecg_p_03
n_r_ecg_p_04,n_r_ecg_p_04
n_r_ecg_p_05,n_r_ecg_p_05
n_r_ecg_p_06,n_r_ecg_p_06
n_r_ecg_p_08,n_r_ecg_p_08
n_r_ecg_p_09,n_r_ecg_p_09
n_r_ecg_p_10,n_r_ecg_p_10
n_p_ecg_p_01,n_p_ecg_p_01
n_p_ecg_p_03,n_p_ecg_p_03
n_p_ecg_p_04,n_p_ecg_p_04
n_p_ecg_p_05,n_p_ecg_p_05
n_p_ecg_p_06,n_p_ecg_p_06
n_p_ecg_p_07,n_p_ecg_p_07
n_p_ecg_p_08,n_p_ecg_p_08
n_p_ecg_p_09,n_p_ecg_p_09
n_p_ecg_p_10,n_p_ecg_p_10
n_p_ecg_p_11,n_p_ecg_p_11
n_p_ecg_p_12,n_p_ecg_p_12
fibr_ter_01,fibr_ter_01
fibr_ter_02,fibr_ter_02
fibr_ter_03,fibr_ter_03
fibr_ter_05,fibr_ter_05
fibr_ter_06,fibr_ter_06
fibr_ter_07,fibr_ter_07
fibr_ter_08,fibr_ter_08
GIPO_K,gipo_k
K_BLOOD,k_blood
GIPER_NA,giper_na
NA_BLOOD,na_blood
ALT_BLOOD,alt_blood
AST_BLOOD,ast_blood
KFK_BLOOD,kfk_blood
L_BLOOD,l_blood
ROE,roe
TIME_B_S,time_b_s
R_AB_1_n,r_ab_1_n
R_AB_2_n,r_ab_2_n
R_AB_3_n,r_ab_3_n
NA_KB,na_kb
NOT_NA_KB,not_na_kb
LID_KB,lid_kb
NITR_S,nitr_s
NA_R_1_n,na_r_1_n
NA_R_2_n,na_r_2_n
NA_R_3_n,na_r_3_n
NOT_NA_1_n,not_na_1_n
NOT_NA_2_n,not_na_2_n
NOT_NA_3_n,not_na_3_n
LID_S_n,lid_s_n
B_BLOK_S_n,b_blok_s_n
ANT_CA_S_n,ant_ca_s_n
GEPAR_S_n,gepar_s_n
ASP_S_n,asp_s_n
TIKL_S_n,tikl_s_n
TRENT_S_n,trent_s_n
ZSN,chf
